date,nk_name,nk_idx,amrita_type,amrita_start,amrita_offset_min,moon_lon_at_amrita,moon_speed_dph,nk_entry_lon,lon_frac,nk_duration_min,time_since_nk_entry_min,time_frac,sunrise_min,month_group
2025-03-30,Revati,26,Di,16:14,974,359.7666,0.6312,346.6667,0.9825,1268,1246,0.9826,384,2025-03
2025-03-31,Revati,0,Di,10:11,611,11.0802,0.6286,0.0000,0.8310,1270,1055,0.8307,383,2025-03
2025-04-01,Bharani,1,Di,10:41,641,26.3887,0.6197,13.3333,0.9792,1282,1255,0.9789,383,2025-04
2025-04-02,Krttika,3,Di,11:20,680,41.5080,0.6058,40.0000,0.1131,1333,149,0.1118,382,2025-04
2025-04-03,Rohini,4,Di,09:10,550,54.5815,0.5908,53.3333,0.0936,1369,127,0.0928,381,2025-04
2025-04-03,Rohini,3,Ra,02:39,159,50.7138,0.5955,40.0000,0.8035,1333,1068,0.8012,381,2025-04
2025-04-04,Mrgasira,4,Ra,00:33,33,63.5908,0.5797,53.3333,0.7693,1369,1050,0.7670,381,2025-04
2025-04-06,Punarvasu,7,Di,07:23,443,94.3268,0.5418,93.3333,0.0745,1493,110,0.0737,379,2025-04
2025-04-06,Punarvasu,6,Ra,03:21,201,92.1352,0.5443,80.0000,0.9101,1452,1319,0.9084,379,2025-04
2025-04-09,Magha,9,Di,08:42,522,132.6880,0.5079,120.0000,0.9516,1562,1486,0.9513,377,2025-04
2025-04-09,Magha,9,Ra,05:53,353,131.2557,0.5088,120.0000,0.8442,1562,1317,0.8431,377,2025-04
2025-04-12,Hasta,12,Di,10:18,618,169.4586,0.4940,160.0000,0.7094,1617,1147,0.7093,375,2025-04
2025-04-13,Chitra,13,Di,12:19,739,182.2904,0.4927,173.3333,0.6718,1623,1090,0.6716,375,2025-04
2025-04-14,Swati,14,Di,12:15,735,194.0830,0.4930,186.6667,0.5562,1623,903,0.5564,374,2025-04
2025-04-15,Vishakha,15,Di,14:49,889,207.2007,0.4949,200.0000,0.5401,1617,874,0.5405,373,2025-04
2025-04-16,Anuradha,16,Di,15:27,927,219.4291,0.4983,213.3333,0.4572,1605,735,0.4579,373,2025-04
2025-04-17,Jyeshtha,17,Ra,19:18,1158,233.3848,0.5045,226.6667,0.5039,1586,802,0.5057,372,2025-04
2025-04-18,Mula,18,Ra,23:32,1412,247.7465,0.5137,240.0000,0.5810,1560,910,0.5833,372,2025-04
2025-04-28,Bharani,1,Ra,18:46,1126,24.8397,0.6343,13.3333,0.8630,1259,1086,0.8626,366,2025-04
2025-04-29,Krttika,3,Ra,19:24,1164,40.3725,0.6252,40.0000,0.0279,1291,36,0.0279,366,2025-04
2025-04-30,Rohini,4,Di,17:12,1032,53.8723,0.6120,53.3333,0.0404,1323,53,0.0401,365,2025-04
2025-05-01,Mrgasira,4,Di,10:37,637,64.4254,0.5989,53.3333,0.8319,1323,1098,0.8299,365,2025-05
2025-05-03,Punarvasu,7,Di,15:12,912,94.7879,0.5552,93.3333,0.1091,1459,157,0.1076,364,2025-05
2025-05-04,Pushya,7,Di,11:28,688,105.8874,0.5397,93.3333,0.9416,1459,1373,0.9411,364,2025-05
2025-05-09,Hasta,12,Di,15:30,930,169.0661,0.4925,160.0000,0.6800,1623,1102,0.6790,362,2025-05
2025-05-10,Chitra,13,Ra,19:28,1168,182.8256,0.4920,173.3333,0.7119,1626,1158,0.7122,362,2025-05
2025-05-11,Krttika,14,Ra,19:24,1164,194.6135,0.4934,186.6667,0.5960,1622,968,0.5968,361,2025-05
2025-05-12,Vishakha,15,Ra,22:01,1321,207.7846,0.4966,200.0000,0.5838,1612,943,0.5850,361,2025-05
2025-05-13,Vishakha,16,Ra,22:42,1362,220.0901,0.5008,213.3333,0.5068,1598,812,0.5081,361,2025-05
2025-05-14,Krttika,16,Ra,02:37,157,222.0526,0.5015,213.3333,0.6539,1598,1047,0.6552,360,2025-05
